name,url,year_founded,city,state,full_time_employees,type,company_category,revenue_source,business_model
Oversight Systems,http://www.oversightsystems.com,2003,Atlanta,GA,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
Noveda Technologies,www.noveda.com,2007,NA,NJ,51-200,Private,Data/Technology,NA,"Business to Business, Business to Consumer, Business to Government"
Workhands,https://www.workhands.us/,2012,San Francisco,CA,NA,NA,Lifestyle & Consumer,Not reported by company,NA
Predilytics,http://www.predilytics.com,2012,Manchester,NH,11-50,Private,Healthcare,Not reported by company,Business to Business
RedLaser,http://redlaser.com,2003,San Jose,CA,11-50,Public,Lifestyle & Consumer,Not reported by company,Business to Consumer
Xatori,http://www.xatori.com/,2010,Menlo Park,CA,1-10,Private,Energy,Not reported by company,NA
AccuWeather,http://www.accuweather.com,1962,State College,PA,201-500,Private,Environment & Weather,Subscriptions,"Business to Business, Business to Consumer, Business to Government"
PolicyMap,policymap.com,2007,Philadelphia,PA,1-10,Nonprofit,Geospatial/Mapping,"Philanthropic grants, Subscriptions","Business to Business, Business to Consumer, Business to Government, academia"
Geolytics,http://www.geolytics.com,1996,Branchburg,NJ,1-10,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
Brightscope,http://www.brightscope.com/,2008,San Diego,CA,51-200,Private,Finance & Investment,"Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Consumer
STILLWATER SUPERCOMPUTING INC,http://www.stillwater-sc.com,2007,El Dorado Hills,CA,11-50,Private,Research & Consulting,"Consulting, Data analysis for clients, Database licensing, Software licensing",Business to Business
PIXIA Corp,www.pixia.com,1999,Reston,VA,51-200,Private,Data/Technology,Software licensing,"Business to Business, Business to Government"
WattzOn,http://www.wattzon.com/,2008,Mountain View,CA,11-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer"
OpenPlans,http://openplans.org,1999,New York,NY,11-50,NA,Governance,Not reported by company,Business to Consumer
Charles Schwab Corp.,https://www.schwab.com,1973,San Francisco,CA,"10,001+",Public,Finance & Investment,Not reported by company,Business to Consumer
Equifax,http://www.equifax.com/home/en_us,1899,Atlanta,GA,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Business
Nielsen,http://www.nielsen.com/us/en.html,1964,NA,NY,"10,001+",Public,Research & Consulting,Not reported by company,"Business to Business, Business to Consumer"
State Farm Insurance,http://www.statefarm.com/,1922,Bloomington,IL,"10,001+",Private,Insurance,Not reported by company,NA
"PayScale, Inc.",http://www.payscale.com,2001,Seattle,WA,51-200,Private,Business & Legal Services,"Advertising, Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
Allied Van Lines,http://www.allied.com,1928,Oakbrook Terrace,IL,"5,001-10,000",Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Relationship Science,https://www.relsci.com,2010,New York,NY,"501-1,000",Private,Business & Legal Services,Not reported by company,NA
BizVizz,http://bizvizz.com,2011,Milwaukee,WI,NA,Private,Governance,Not reported by company,Business to Business
TransUnion,http://www.transunion.com/,1968,Chicago,IL,"1,001-5,000",Private,Business & Legal Services,Not reported by company,NA
Aquicore,http://www.aquicore.com/,2010,NA,DC,1-10,Private,Energy,NA,Business to Business
FarmLogs,farmlogs.com,2011,Ann Arbor,MI,11-50,Private,Food & Agriculture,"Subscriptions, User fees for web or mobile access",Business to Business
Revaluate,https://revaluate.com/,2014,New York,NY,1-10,Private,Housing/Real Estate,"Lead generation to other businesses, Subscriptions",Business to Consumer
GetRaised,https://getraised.com,2010,New York,NY,1-10,Private,Finance & Investment,Not reported by company,Business to Consumer
Alltuition,https://www.alltuition.com,2009,Chicago,IL,1-10,Private,Education,Not reported by company,Business to Consumer
mHealthCoach,http://mhealthcoach.com,2010,Chicago,IL,1-10,Private,Healthcare,Not reported by company,Business to Business
Connotate,http://www.connotate.com,2000,New Brunswick,NJ,51-200,Private,Data/Technology,Not reported by company,Business to Business
Solar Census,http://www.solarcensus.com,2006,NA,CA,1-10,Private,Energy,NA,Business to Business
Intermap Technologies,www.intermap.com,1996,Englewood,CO,51-200,Public,Geospatial/Mapping,Not provided by company,"Business to Business, Business to Consumer, Business to Government"
Code-N,http://www.code-n.com,2010,Menlo Park,CA,11-50,Private,Data/Technology,Not reported by company,Business to Business
The DocGraph Journal,http://docgraph.org/,2013,Houston,TX,1-10,Private,Healthcare,Database licensing,Business to Consumer
Quertle,quertle.com,2008,Henderson,NV,11-50,Private,Data/Technology,Software licensing,"Business to Business, Business to Consumer, academia"
Propeller Health,http://propellerhealth.com,2010,Madison,WI,11-50,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Porch,porch.com,2012,Seattle,WA,51-200,Private,Housing/Real Estate,Subscriptions,Business to Consumer
ProPublica,http://www.propublica.org/,2007,New York,NY,11-50,Nonprofit,Governance,Media,Business to Consumer
OTC Markets,http://www.otcmarkets.com/home,1997,New York,NY,51-200,Public,Finance & Investment,"Advertising, Subscriptions, User fees for web or mobile access",Business to Business
Avalara,http://www.avalara.com,2004,Bainbridge Island,WA,"501-1,000",Private,Finance & Investment,Not reported by company,Business to Consumer
Uber,https://www.uber.com/,2009,San Francisco,CA,"1,001-5,000",Private,Transportation,Not reported by company,NA
Deloitte,http://www.deloitte.com,1845,New York,NY,"10,001+",Private,Research & Consulting,Not reported by company,Business to Business
PricewaterhouseCoopers (PWC),http://www.pwc.com/us/en/index.jhtml,1998,New York,NY,"10,001+",Private,Finance & Investment,Not reported by company,Business to Business
PublicEngines,http://www.publicengines.com/,2007,Draper,UT,11-50,Private,Governance,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
eScholar LLC.,http://www.escholar.com,1997,White Plains,NY,51-200,Private,Education,"Data analysis for clients, Database licensing","Business to Business, Business to Consumer"
OnDeck,www.ondeck.com,2007,New York,NY,201-500,Private,Finance & Investment,Growing number of small businesses we are able to serve,Business to Consumer
Way Better Patents,http://waybetterpatents.com/,2012,Oakton,VA,1-10,Private,Business & Legal Services,"Subscriptions, Custom Reports and Analysis","Business to Business, Business to Consumer"
Teradata,http://www.teradata.com/,1979,Dayton,OH,NA,Public,Data/Technology,Not reported by company,NA
Cloudspyre,http://www.cloudspyre.com,2010,Bristow,VA,1-10,Private,Lifestyle & Consumer,"Consulting, App Sales",Business to Business
Atlas Van Lines,http://www.atlasvanlines.com,1948,Evansville,IN,201-500,Private,Transportation,Customers,"Business to Business, Business to Consumer"
Kaiser Permanante,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,1945,Oakland,CA,"10,001+",Nonprofit,Healthcare,Not reported by company,Business to Consumer
Aureus Sciences (*Now part of Elsevier),http://www.aureus-sciences.com,2000,Philadelphia,PA,11-50,Private,Scientific Research,Not reported by company,Business to Business
Food+Tech Connect,http://www.foodtechconnect.com,2010,New York,NY,1-10,Private,Food & Agriculture,Not reported by company,Business to Business
R R Donnelley,http://www.rrdonnelley.com,1864,Chicago,IL,"10,001+",Public,Business & Legal Services,Not reported by company,NA
Inovalon,http://www.inovalon.com/pages/default.aspx,1998,Bowie,MD,"1,001-5,000",Private,Healthcare,Not provided by company,Business to Business
Energy Solutions Forum,energysolforum.com,2011,New York,NY,1-10,Private,Energy,Subscriptions,Business to Business
North American Van Lines,http://northamericanvanlines.com,1933,Fort Wayne,IN,"501-1,000",Private,Transportation,Not reported by company,Business to Consumer
iRecycle,http://earth911.com/irecycle/,2009,Scotsdale,AZ,1-10,Public,Environment & Weather,Not reported by company,Business to Business
LoopNet,http://www.loopnet.com,1995,San Francisco,CA,201-500,Public,Housing/Real Estate,Not reported by company,Business to Consumer
Bloomberg,http://www.bloomberg.com,1982,New York,NY,"10,001+",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Simple Energy,http://simpleenergy.com,2010,Boulder,CO,11-50,Private,Energy,Software licensing,Business to Business
Copyright Clearance Center,http://www.copyright.com,1978,Danvers,MA,201-500,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
InfoCommerce Group,http://infocommercegroup.com,2000,Bala Cynwyd,PA,1-10,Private,Research & Consulting,Not reported by company,Business to Business
Lucid,http://www.luciddesigngroup.com,2004,Oakland,CA,11-50,Private,Energy,"Software licensing, Subscriptions","Business to Government,"
CoolClimate,http://coolclimate.berkeley.edu,2007,Berkeley,CA,1-10,Nonprofit,Environment & Weather,"Data analysis for clients, Database licensing, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
Think Computer Corporation,thinkcomputer.com,1998,Mountain View,CA,1-10,Private,Business & Legal Services,"Data analysis for clients, Database licensing, Subscriptions",Business to Business
Trulia,trulia.com,2005,San Francisco,CA,201-500,Public,Housing/Real Estate,Advertising,NA
Chubb,http://www.chubb.com,1882,Warren,NJ,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
Factset,http://www.factset.com,1978,Norwalk,CT,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Business
PlotWatt,https://plotwatt.com,2008,Durham,NC,1-10,Private,Energy,Not reported by company,Business to Consumer
"Govzilla, Inc.",fdazilla.com,2011,Yorkville,IL,NA,Private,Governance,"Advertising, Subscriptions, Data analysis for clients, Database licensing",NA
Sophic Systems Alliance,http://www.sophicalliance.com,1993,East Falmouth,MA,1-10,Private,Scientific Research,Not reported by company,"Business to Business, Business to Government, academia + nonprofit"
Enigma.io,enigma.io,2011,New York,NY,11-50,Private,Data/Technology,"Subscriptions, API Licenses","Business to Business, Business to Government"
Innovest Systems,http://www.innovestsystems.com,2000,New York,NY,51-200,Private,Finance & Investment,Not provided by company,Business to Business
HelloWallet,http://www.hellowallet.com/,2009,Washington,DC,11-50,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Accenture,http://www.accenture.com/us-en/pages/index.aspx,1989,Chicago,IL,"10,001+",Public,NA,Not reported by company,Business to Business
PYA Analytics,www.pyaanalytics.com,2013,Knoxville,TN,11-50,Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract","Business to Business, Business to Government"
Palantir Technologies,https://www.palantir.com,2004,Palo Alto,CA,"501-1,000",Private,Data/Technology,NA,Business to Business
Civic Insight,http://civicinsight.com,2012,San Francisco,CA,1-10,Private,Housing/Real Estate,"Data analysis for clients, Database licensing","Business to Business, Business to Consumer, Business to Government"
DataMade,http://datamade.us,2012,Chicago,IL,1-10,Private,Governance,Philanthropic grants,Business to Government
SAP,http://www.sap.com/,1972,Newtown Square,PA,"10,001+",Public,Data/Technology,Not reported by company,Business to Business
ClearStory Data,www.clearstorydata.com,2011,Palo Alto,CA,51-200,Private,Data/Technology,not reported by company,Business to Business
Equilar,http://www.equilar.com/,2000,Redwood City,CA,51-200,Private,Data/Technology,Not reported by company,Business to Business
Datamyne,http://www.datamyne.com,1992,Miami,FL,51-200,Private,Data/Technology,Not reported by company,Business to Business
OnStar,https://www.onstar.com/web/portal/home?g=1,1995,Warren,MI,"10,001+",Public,Geospatial/Mapping,Not reported by company,Business to Consumer
HopStop,https://www.hopstop.com/,2005,New York,NY,1-10,Private,Transportation,Not reported by company,Business to Consumer
Synthicity,http://www.synthicity.com/,2012,Berkely,CA,1-10,Private,Housing/Real Estate,"Data analysis for clients, Database licensing","Business to Business, Business to Government"
Inrix Traffic,http://www.inrixtraffic.com,2005,Kirkland,WA,201-500,Private,Transportation,Not provided by company,Business to Consumer
OpenCounter,http://opencounter.us,2013,NA,CA,1-10,Permitting Assistance,Governance,"Data analysis for clients, Database licensing",Business to Government
Arpin Van Lines,http://www.arpin.com,1900,West Warwick,RI,201-500,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
iFactor Consulting,http://www.ifactorconsulting.com,2004,Tempe,AZ,11-50,Private,Research & Consulting,NA,Business to Business
TrueCar,http://www.truecar.com/,2005,Santa Monica,CA,201-500,Private,Transportation,Not reported by company,Business to Consumer
REI Systems,www.reisystems.com,1989,Sterling,VA,"501-1,000",Private,Data/Technology,"Data analysis for clients, Database licensing",NA
Glassy Media,http://www.glassymedia.com/,2012,Cambridge,MA,1-10,Private,Governance,Not reported by company,Business to Consumer
xDayta,http://www.xdayta.com,2013,Phoenix,AZ,1-10,Private,Data/Technology,"Lead generation to other businesses, User fees for web or mobile access, Marketplace Broker Fees",Business to Consumer
Quandl,http://www.quandl.com,2011,NA,NY,1-10,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Numedii,http://numedii.com,2008,Palo Alto,CA,1-10,Private,Scientific Research,Not reported by company,"Business to Business, Business to Government"
Paxata,www.paxata.com,2012,Redwood City,CA,11-50,Private,Data/Technology,Software licensing,Business to Business
Xignite,http://www.xignite.com/,2000,San Mateo,CA,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Computer Packages Inc,http://www.computerpackages.com/,1968,Rockville,MD,51-200,Private,Data/Technology,Not reported by company,Business to Business
Clean Power Finance,http://www.cleanpowerfinance.com,2006,San Francisco,CA,51-200,Private,Energy,"Software licensing, Transaction fees across our platform","Business to Business, Business to Consumer"
